"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Wie zufrieden sind Sie mit ihrem aktuellen Lernerfolg?","Welcher Fakultät gehört Ihr Studiengang an?","Welcher Fakultät gehört Ihr Studiengang an? [Sonstiges]","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang?","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang? [Sonstiges]","Im wievielten Fachsemester studieren Sie?","Wählen Sie bitte die passende Aussage aus. [Ich empfinde die wöchentlichen Übungsaufgaben als hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn Übungsaufgaben verpflichtend sind, hilft es mir am Ball zu bleiben.]","Wählen Sie bitte die passende Aussage aus. [Normalerweise finde ich die einem Kurs gestellten Materialien ausreichend und hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn ein Kurs keine Verpflichtungen oder Fristen vorgibt, schiebe ich vieles auf.]","Wählen Sie bitte die passende Aussage aus. [Effizientes Lernen in der Prüfungsvorbereitung ist mir wichtig]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Kurzskript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Vollständiges Skript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Mitschriften aus der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Videoaufzeichnungen der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Übungsaufgaben mit Musterlösung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Bücher]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Altklausuren]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Online-Videos (z.B. YouTube)]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [KI-Chatbots (z.B. Chat-GPT, Gemini)]","Die Materialien, die ich benutze... [... fördern Verstehen statt Auswendiglernen.]","Die Materialien, die ich benutze... [... sind klar strukturiert und organisiert.]","Die Materialien, die ich benutze... [... sind nicht unnötig kompliziert dargestellt.]","Die Materialien, die ich benutze... [... stehen rechtzeitig zur Verfügung.]","Die Materialien, die ich benutze... [... erhöhen meine Arbeitsbelastung.]","Die Materialien, die ich benutze... [... erleichtern meinen Lernprozess.]","Die Materialien, die ich benutze... [... geben mir Sicherheit, den Stoff zu schaffen.]","Die Materialien, die ich benutze... [... steigern meine Motivation.]","Die Materialien, die ich benutze... [... unterstützen mein selbstständiges Lernen.]","Die Materialien, die ich benutze... [... reduzieren meinen Prüfungsstress.]","Die Materialien, die ich benutze... [... erhöhen meinen Zeitaufwand.]","Die Materialien, die ich benutze... [... geben mir Sicherheit über Prüfungsrelevanz.]","Feedback zur Umfrage"
"126","1980-01-01 00:00:00","6","de","778594111","Sehr zufrieden","Statistik","","Bachelor","","7","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","","Immer","Immer","","Immer","Gar nicht","Selten","Oft","Oft","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme voll und ganz zu","Stimme eher zu","Neutral",""
"127","1980-01-01 00:00:00","6","de","479630366","Eher zufrieden","Statistik","","Bachelor","","1","","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Selten","Immer","Manchmal","Oft","Immer","Oft","Immer","Immer","Immer","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Neutral","Neutral","Stimme eher zu",""
"128","1980-01-01 00:00:00","6","de","1831894861","Eher unzufrieden","Statistik","","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Immer","Oft","Oft","Manchmal","Manchmal","Oft","Oft","Immer","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu",""
"129","1980-01-01 00:00:00","6","de","834867972","Eher zufrieden","Sonstiges","Economics ","Bachelor","","3","Stimme eher nicht zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Gar nicht","Selten","Manchmal","Immer","Immer","Manchmal","Oft","Manchmal","Immer","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"130",,"3","de","1431043747","Eher unzufrieden","Informatik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Gar nicht","Gar nicht","Manchmal","Manchmal","Oft","Gar nicht","Immer","Manchmal","Immer","","","","","","","","","","","","",
"131",,,"de","1757850083","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"132","1980-01-01 00:00:00","6","de","2028757693","Eher unzufrieden","Physik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","","Oft","Selten","","Immer","Oft","Oft","","Gar nicht","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu",""
"133",,,"de","2055496500","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"134","1980-01-01 00:00:00","6","de","996971445","Eher unzufrieden","Sonstiges","Chemische Biologie ","Bachelor","","7","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Manchmal","Selten","Gar nicht","Manchmal","Oft","Gar nicht","Immer","Manchmal","Oft","Stimme überhaupt nicht zu","Neutral","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Die Fragen sind präzise und verständlich formuliert, möge die Macht mit euch sein "
"135",,"0","de","2084905687","Eher zufrieden","","","","",,"","","","","","","","","","","","","","","","","","","","","Stimme überhaupt nicht zu","","","","","",""
"136",,"-1","de","1958747","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137",,"1","de","1307665089","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"138",,"4","de","2076784702","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","1980-01-01 00:00:00","6","de","1433482819","Eher zufrieden","Sonstiges","Bauwesen ","Bachelor","","7","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Oft","Immer","Immer","Oft","Immer","Immer","Immer","Manchmal","Oft","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu",""
"140",,"1","de","985350576","Eher zufrieden","Sonstiges","Maschinenbau","Master","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
